fsq_id,distance_station,latitude,longitude,name,category_name,rating,city_bikes_id
4b1db335f964a520211424e3,289,49.263328,-123.11402,Marulilu Cafe,Café,,8
5478ca03498e3bbc45e6ce54,924,49.264531,-123.105038,Elysian Coffee,Coffee Shop,,8
4b342ac8f964a520b92525e3,271,49.263675,-123.12143,Dynasty Seafood Restaurant 皇朝海鮮酒家,Chinese Restaurant,,8
4ab145f3f964a520d56820e3,408,49.264703,-123.112191,Solly's Bagelry,Bakery,,8
5b7882e95455b2002c6abf1c,994,49.266631,-123.104568,Pure Bread,Bakery,,8
4aada5a2f964a520236120e3,500,49.268684,-123.118613,The Wicklow Pub,Pub,,8
5bbad75ead910e002c9f46fa,880,49.263903,-123.105634,33 Brewing Experiment,Brewery,,8
5ba9958535d3fc003903abcc,852,49.269521,-123.109276,Nook,Italian Restaurant,,8
53eee0b9498e381a6c7eaa98,544,49.26908,-123.118647,Mahony & Sons,Irish Pub,,8
523871de11d2c5fc2ec832a1,913,49.270118,-123.109002,JJ Bean Coffee Roasters,Coffee Shop,,8
50982adee4b0cb1b3389815d,396,49.263035,-123.112616,Sushi California,Sushi Restaurant,,8
5f1133399e5df36494aa5b21,920,49.269552,-123.108061,Ophelia,Mexican Restaurant,,8
4b16d55ff964a5201dbe23e3,38,49.263963,-123.118129,Ebisu on Broadway,Sushi Restaurant,,8
5691d6c2498eaae856c925dc,953,49.2695,-123.107408,Bao Down Gastropub + Raw Bar,Bar,,8
5bcacf35364d97002cae03a0,981,49.266312,-123.104622,Tacofino Ocho,Taco Restaurant,,8
4adbdddff964a520ec2a21e3,977,49.25562,-123.114904,Café Gloucester 告羅士打餐廳,Chinese Restaurant,,8
5898f8a5af5c1411a1a2263d,380,49.265807,-123.122423,Tim Hortons,"Cafe, Coffee, and Tea House",,8
4b4458daf964a52011f425e3,238,49.263714,-123.114614,Wendy's,Burger Joint,,8
4aa9212ff964a520185220e3,482,49.267226,-123.112973,Starbucks,Coffee Shop,,8
5aecb62e947c050039251eea,76,49.263546,-123.118013,Tractor,Salad Restaurant,,8
4b4e3632f964a52072e526e3,406,49.263583,-123.123288,Tim Hortons,"Cafe, Coffee, and Tea House",,8
61f0a211e51e08606aad7c76,144,49.265229,-123.116534,Cafe & Life Co,Coffee Shop,,8
4aa8320cf964a520f94f20e3,172,49.263421,-123.115731,Blenz Coffee,Café,,8
63560d0518f2d50e9c6b4717,228,49.262886,-123.115361,Jollibee,Fried Chicken Joint,,8
bff3d182b18f4fb930d605fd,247,49.265671,-123.115193,Paragon Tea Room,Tea Room,,8
6171f98555d8535cda934577,420,49.263719,-123.112026,Pokerrito,Hawaiian Restaurant,,8
6031681b8f3fbb0da52233f2,427,49.260723,-123.115582,Regal Mansion Cuisine,Dim Sum Restaurant,,8
5e1e5c46568f980008a9fad9,520,49.260059,-123.114471,iDen & Quan Ju de Beijing Duck House,Chinese Restaurant,,8
5b8af284be707800399344a5,538,49.269024,-123.118642,Uno Gelato,Gelato Shop,,8
60751e0f98c6b4114078b901,755,49.263686,-123.128163,John 3:16 Malaysian Delights,Malay Restaurant,,8
5ebc41f3863e0900070aba7f,755,49.263686,-123.128163,Chun Fun How,Bubble Tea Shop,,8
5056550be4b04df235227f2d,835,49.257182,-123.12185,Willow Cafe Bakery,Café,,8
6312aa07a5372f31e1635aa3,852,49.265839,-123.106285,Mount Pleasant Vintage & Provisions,Restaurant,,8
4c48639e417b20a19bbfe0a9,874,49.267528,-123.106835,Laura's Coffee Shop,Coffee Shop,,8
5f8a5c194e6337189a099545,959,49.264917,-123.104585,La Fabrique St. George,Winery,,8
daa9a6489ba157a8f3cb7c88,898,49.269619,-123.108554,Pizza Hut,Pizzeria,,8
5cd9e07fd176e9003299b498,418,49.273374,-123.119419,OEB Breakfast Co,Dining and Drinking,,9
4e72a8b21495dffb8e949b60,590,49.271451,-123.107006,Terra Breads,Bakery,,9
5751fda3498e4f21436b3b09,661,49.275114,-123.121514,Mister,Ice Cream Parlor,,9
56e71692498e78e8143f679d,706,49.276488,-123.119685,Tacofino,Taco Restaurant,,9
5af8880a838e59002ce2d728,653,49.275871,-123.119875,Angus T,Bakery,,9
4aa942d5f964a520ba5220e3,727,49.276123,-123.121114,Blue Water Cafe + Raw Bar,Seafood Restaurant,,9
59d195e16f706a3692499c29,504,49.275175,-123.11284,Honey Salt,Restaurant,,9
5ba9958535d3fc003903abcc,448,49.269521,-123.109276,Nook,Italian Restaurant,,9
54bea64f498ec3ed3dde9a10,912,49.268876,-123.102894,Earnest Ice Cream,Ice Cream Parlor,,9
508c2d32e4b032d8be856a72,628,49.270591,-123.106447,CRAFT Beer Market Vancouver,Beer Garden,,9
5a878c33f8cbd46ab822ef69,665,49.275006,-123.121748,MeeT in Yaletown,Vegan and Vegetarian Restaurant,,9
5c4cccbf6bdee600398e07fb,672,49.271332,-123.105861,Gusto a Taste of Italy,Bistro,,9
523871de11d2c5fc2ec832a1,450,49.270118,-123.109002,JJ Bean Coffee Roasters,Coffee Shop,,9
4aec909ff964a520ccc821e3,920,49.263724,-123.108701,Milano Coffee,Coffee Shop,,9
4b6d04bcf964a52041632ce3,822,49.278151,-123.117231,Lupo Restaurant & Vinoteca,Italian Restaurant,,9
4b7c2ccaf964a5201a822fe3,976,49.274585,-123.102893,Creekside Park,Restaurant,,9
4ab2c5fbf964a520446c20e3,927,49.26727,-123.103568,R & B Brewing Inc,Brewery,,9
5b7882e95455b2002c6abf1c,897,49.266631,-123.104568,Pure Bread,Bakery,,9
5db90dd3a53fc80008bd246b,651,49.275994,-123.11948,Bartholomew Bar,Cocktail Bar,,9
51a7a349454a2b1f0e2449f8,872,49.278455,-123.11823,Homer St. Cafe and Bar,Restaurant,,9
4aada5a2f964a520236120e3,352,49.268684,-123.118613,The Wicklow Pub,Pub,,9
5b9032b4345cbe00398a8d6a,897,49.274404,-123.126239,Matchstick Coffee Roasters,Café,,9
4aa7d47ff964a520714d20e3,721,49.27671,-123.11946,The Keg Steakhouse + Bar - Yaletown,Restaurant,,9
55d97956498e2c299b5830c0,811,49.268552,-123.104488,Faculty Brewing Co,Bar,,9
4b4fdbd2f964a520c91727e3,722,49.27512,-123.12265,Hapa Izakaya,Bar,,9
53eee0b9498e381a6c7eaa98,325,49.26908,-123.118647,Mahony & Sons,Irish Pub,,9
5aee0168d552c7002c136af0,888,49.267115,-123.104285,Electric Bicycle Brewing,Brewery,,9
5f1133399e5df36494aa5b21,531,49.269552,-123.108061,Ophelia,Mexican Restaurant,,9
4aa98676f964a520105420e3,880,49.263077,-123.117243,Elysian Coffee Broadway,Coffee Shop,,9
4aa94599f964a520cc5220e3,723,49.275084,-123.122728,Cactus Club Cafe Yaletown,American Restaurant,,9
